idcode,year,nev_mar,not_smsa,south,occ_code,union,ttl_exp,ln_wage
1,72,0,0,0,6,1,2.2564101,1.5899774
1,77,0,0,0,8,0,3.775641,1.7786806
1,80,0,0,0,6,1,5.2948718,2.5517154
1,83,0,0,0,6,1,5.2948718,2.4202614
1,85,0,0,0,6,1,7.1602564,2.6141725
1,87,0,0,0,6,1,8.9871798,2.5363736
1,88,0,0,0,6,1,10.333334,2.4629273
2,71,0,0,0,3,0,.71153843,1.3603482
2,77,0,0,0,6,1,3.2115386,1.726721
2,78,0,0,0,6,1,4.2115383,1.6899101
2,80,0,0,0,6,1,6.0961537,1.7269641
2,82,0,0,0,6,1,7.6666665,1.8082886
2,83,0,0,0,6,1,8.583333,1.863417
2,85,0,0,0,6,1,10.179487,1.7893666
2,87,0,0,0,6,1,12.179487,1.8465303
2,88,0,0,0,5,1,13.621795,1.8564485
3,71,1,0,0,3,0,3.4423077,1.5474197
3,72,1,0,0,3,0,4.4423075,1.6072942
3,73,1,0,0,3,0,5.3846154,1.5972669
3,77,1,0,0,3,0,6.9423075,1.6228406
3,78,1,0,0,3,0,7.9807692,1.5666349
3,80,1,0,0,3,0,9.8653851,1.5597233
3,82,1,0,0,3,0,11.75,1.6034193
3,83,1,0,0,3,0,12.615385,1.6142294
3,85,1,0,0,3,0,14.615385,1.7307986
3,87,1,0,0,3,0,16.346153,1.5257654
4,70,1,0,0,13,1,2.25,2.2885003
4,71,0,0,0,13,1,3.1923077,2.3755784
4,72,0,0,0,13,1,4.2115383,2.413923
4,80,0,0,0,13,0,5.6923075,1.4762361
4,82,0,0,0,13,0,7.5769229,1.2809334
4,83,0,0,0,13,0,8.3846149,1.5158548
4,85,0,0,0,13,0,10.384615,1.9301697
4,87,0,0,0,8,1,12.038461,1.9190345
4,88,0,0,0,13,1,13.211537,2.2009745
5,70,1,0,0,3,0,3.0769231,1.8208579
5,71,1,0,0,3,0,4.0384617,1.8585224
5,72,1,0,0,3,0,5.0384617,1.9793015
5,73,1,0,0,3,0,6.0384617,1.9904118
5,77,0,0,0,3,0,7.5769234,1.9375215
5,80,0,0,0,3,0,9.3461542,1.8302689
5,82,0,0,0,3,0,10.730769,1.8472722
6,71,0,0,0,6,0,1.3846154,1.5185719
6,72,0,0,0,6,0,2.4423077,1.6072942
6,73,0,0,0,6,0,3.3846154,1.8097416
6,77,0,0,0,6,0,6.4166665,1.9631099
6,78,0,0,0,5,1,7.4358974,1.9827331
6,80,0,0,0,6,0,9.416667,1.8467982
6,82,0,0,0,6,0,11.416667,1.8148247
6,83,0,0,0,6,1,12.416667,1.9199128
6,85,0,0,0,6,0,14.416667,1.9583769
6,87,0,0,0,6,0,16.416666,2.0070679
6,88,0,0,0,6,0,17.820513,2.0898535
7,70,0,0,0,3,0,3.0576923,1.5394455
7,71,0,0,0,3,0,4,1.4938796
7,72,0,0,0,3,0,5.0192308,1.4545732
7,87,0,0,0,3,0,5.9038463,.47334209
7,88,0,0,0,3,0,7.3269229,1.5324769
9,70,1,0,0,3,1,.80769229,1.4722368
9,71,1,0,0,3,1,1.7692307,1.7170231
9,72,1,0,0,3,1,2.653846,1.7472422
9,73,0,0,0,3,1,3.5833333,1.7997917
9,77,0,0,0,3,1,7.5833335,2.0913637
9,78,0,0,0,3,1,8.6410255,2.1140988
9,80,0,0,0,3,1,10.52564,2.1137757
9,82,0,0,0,3,1,12.583333,2.3125353
9,83,0,0,0,3,1,13.583333,2.3485804
9,85,0,0,0,2,1,15.583333,2.3734872
9,87,0,0,0,2,1,17.583332,2.3688986
9,88,0,0,0,2,1,19.04487,2.3505313
10,70,1,0,0,6,0,1.4551282,1.4614837
10,71,1,0,0,6,0,2.4551282,1.6116626
10,77,0,0,0,6,0,3.5576923,1.3212559
10,80,0,0,0,4,0,3.9615386,1.275272
10,82,0,0,0,4,0,5,.79744935
